,Date,Adj Close,Volume
355,1988-12-21,4.875,46000
356,1988-12-22,4.6875,25400
357,1988-12-23,4.625,400
358,1988-12-27,4.5625,800
359,1988-12-28,4.5,8400
360,1988-12-29,4.5,6800
361,1988-12-30,5.0625,10600
362,1989-01-03,5.1875,1200
363,1989-01-04,5.6875,5600
364,1989-01-05,5.75,9000
365,1989-01-06,5.75,2200
366,1989-01-09,5.375,6400
367,1989-01-10,5.5,5600
368,1989-01-11,5.625,5600
369,1989-01-12,5.75,3400
370,1989-01-13,5.75,5800
371,1989-01-16,5.6875,4400
372,1989-01-17,5.625,1400
373,1989-01-18,5.625,4600
374,1989-01-19,5.5,1000
375,1989-01-20,5.5,6000
376,1989-01-23,5.625,400
377,1989-01-24,5.4375,2000
378,1989-01-25,5.375,1200
379,1989-01-26,5.3125,4600
380,1989-01-27,5.3125,1000
381,1989-01-30,5.5,2400
382,1989-01-31,5.5,8000
383,1989-02-01,5.5,4200
384,1989-02-02,5.5625,2000
385,1989-02-03,5.5625,7400
386,1989-02-06,5.5,7200
387,1989-02-07,5.5625,12000
388,1989-02-08,5.6875,4400
389,1989-02-09,5.625,6800
390,1989-02-10,5.5,4400
391,1989-02-13,5.5,0
392,1989-02-14,5.5,6800
393,1989-02-15,5.5,4800
394,1989-02-16,5.5625,2600
395,1989-02-17,5.4375,2200
396,1989-02-21,5.4375,0
397,1989-02-22,5.5625,11000
398,1989-02-23,5.8125,10400
399,1989-02-24,5.625,10000
400,1989-02-27,5.625,0
401,1989-02-28,5.6875,5000
402,1989-03-01,5.75,200
403,1989-03-02,5.4375,7400
404,1989-03-03,5.3125,3800
405,1989-03-06,5.5,17400
406,1989-03-07,5.5,2000
407,1989-03-08,5.4375,200
408,1989-03-09,5.375,1600
409,1989-03-10,5.375,0
410,1989-03-13,5.375,0
411,1989-03-14,5.375,200
412,1989-03-15,5.375,2200
413,1989-03-16,5.375,800
414,1989-03-17,5.375,400
415,1989-03-20,5.5,5600
416,1989-03-21,5.375,400
417,1989-03-22,5.5,2600
418,1989-03-23,5.5,0
419,1989-03-27,5.5,0
420,1989-03-28,5.375,17400
421,1989-03-29,5.375,0
422,1989-03-30,5.375,0
423,1989-03-31,5.5,1600
424,1989-04-03,5.5,600
425,1989-04-04,5.5,0
426,1989-04-05,5.4375,2000
427,1989-04-06,5.375,1600
428,1989-04-07,5.3125,400
429,1989-04-10,5.3125,1000
430,1989-04-11,5.25,4200
431,1989-04-12,5.375,200
432,1989-04-13,5.25,600
433,1989-04-14,5.25,2600
434,1989-04-17,5.3125,400
435,1989-04-18,5.3125,0
436,1989-04-19,5.125,1600
437,1989-04-20,5.25,5600
438,1989-04-21,5.5,3200
439,1989-04-24,5.3125,1600
440,1989-04-25,5.375,5200
441,1989-04-26,5.4375,1400
442,1989-04-27,5.3125,28000
443,1989-04-28,5.25,1000
444,1989-05-01,5.1875,1000
445,1989-05-02,5.3125,6000
446,1989-05-03,5.4375,4400
447,1989-05-04,5.5625,12200
448,1989-05-05,6.25,45800
449,1989-05-08,6.5625,42200
450,1989-05-09,6.5625,20400
451,1989-05-10,6.5,11200
452,1989-05-11,6.5,9000
453,1989-05-12,6.5625,8200
454,1989-05-15,6.8125,10600
455,1989-05-16,7.1875,24600
456,1989-05-17,7.6875,10200
457,1989-05-18,8.0,11800
458,1989-05-19,7.8125,18600
459,1989-05-22,7.75,5600
460,1989-05-23,7.875,4600
461,1989-05-24,7.875,400
462,1989-05-25,7.6875,3400
463,1989-05-26,7.375,6800
464,1989-05-30,7.25,2400
465,1989-05-31,7.1875,11000
466,1989-06-01,7.3125,2800
467,1989-06-02,7.375,7400
468,1989-06-05,7.375,0
469,1989-06-06,7.25,1200
470,1989-06-07,7.125,2000
471,1989-06-08,7.0625,6600
472,1989-06-09,7.1875,3000
473,1989-06-12,7.1875,2600
474,1989-06-13,7.25,3400
475,1989-06-14,7.25,3400
476,1989-06-15,7.1875,3000
477,1989-06-16,7.1875,0
478,1989-06-19,7.1875,8200
479,1989-06-20,7.1875,1400
